Name,Designation,Company,LinkedIn URL,Reason,Source,Evidence
Deepak Valecha,"VP, Customer Success",Unknown,https://www.linkedin.com/in/deepakmv/,industry_company,google_browser,"Deepak Valecha - VP, Customer Success LinkedIn · Deepak Valecha 1.1K+ followers Web results Deepak Valecha - VP, Customer Success LinkedIn · Deepak Valecha 1.1K+ followers LinkedIn · Deepak Valecha 1.1K+ followers Mumbai, Maharashtra, India · Vice President · CitiusTech VP, Customer Success - Health Plans ⭐ Achieving clarity from ambiguity. CitiusTech S.P. Jain Institute of Management & Research. Mumbai, Maharashtra, India . Read more"
Minar Mujumdar,"Vice President, Customer Success &",Unknown,https://www.linkedin.com/in/minar-mujumdar-076a8126/,location,google_browser,"Minar Mujumdar - Vice President, Customer Success & Minar Mujumdar - Vice President, Customer Success & ... LinkedIn · Minar Mujumdar 1,8K+ followers LinkedIn · Minar Mujumdar 1,8K+ followers New York, New York, United States · Vice President - Reporting · PCR Financial Aggregation Minar Mujumdar. Vice President, Customer Success & Client Operations | Wealth-Tech & Fintech Builder | Scaling Reporting, Product, and CS Platforms for RIAs, ... Read more"
Aditi Mehta,Customer Success Lead,Bharatsure,https://www.linkedin.com/in/aditi-mehta-898657183/,industry_company,google_browser,"Aditi Mehta - Customer Success Lead @Bharatsure LinkedIn · Aditi Mehta 110+ followers Aditi Mehta - Customer Success Lead @Bharatsure LinkedIn · Aditi Mehta 110+ followers LinkedIn · Aditi Mehta 110+ followers Mumbai, Maharashtra, India · Customer Success Lead · Bharatsure Customer Success Lead @Bharatsure. Bharatsure. Mumbai, Maharashtra, India . 114 followers 106 connections. See your mutual connections. View mutual connections ... Read more Aditi Mehta - Customer Success Lead @Bharatsure LinkedIn · Aditi Mehta 110+ followers Aditi Mehta - Customer Success Lead @Bharatsure LinkedIn · Aditi Mehta 110+ followers LinkedIn · Aditi Mehta 110+ followers Mumbai, Maharashtra, India · Customer Success Lead · Bharatsure Customer Success Lead @Bharatsure. Bharatsure. Mumbai, Maharashtra, India . 114 ... Customer Success Lead . Bharatsure. Aug 2023 - Present 3 years 1 month. Read more"
A Arun Kumar,Executive Vice President,Customer Success,https://www.linkedin.com/in/a-arun-kumar/,industry_company,google_browser,"A Arun Kumar - Executive Vice President - Customer Success LinkedIn · A Arun Kumar 450+ followers A Arun Kumar - Executive Vice President - Customer Success LinkedIn · A Arun Kumar 450+ followers LinkedIn · A Arun Kumar 450+ followers Mumbai, Maharashtra, India · Executive Vice President - Customer Success · NexGen Tech Solutions A Arun Kumar. A Arun Kumar - Executive Vice President - Customer Success LinkedIn · A Arun Kumar 450+ followers A Arun Kumar - Executive Vice President - Customer Success LinkedIn · A Arun Kumar 450+ followers LinkedIn · A Arun Kumar 450+ followers Mumbai, Maharashtra, India · Executive Vice President - Customer Success · NexGen Tech Solutions A Arun Kumar."
Ranjith kumaar N.K,Customer Success leader,Clevertap,https://www.linkedin.com/in/ranjith-kumaar-n-k-3a100a159/,industry_company,google_browser,Ranjith kumaar N.K - Customer Success leader at Clevertap LinkedIn · Ranjith kumaar N.K 2.5K+ followers Ranjith kumaar N.K - Customer Success leader at Clevertap LinkedIn · Ranjith kumaar N.K 2.5K+ followers LinkedIn · Ranjith kumaar N.K 2.5K+ followers Mumbai Metropolitan Region · Associate Director - Customer Success · CleverTap Ranjith kumaar N.K. Customer Success leader at Clevertap. CleverTap Anna University. Mumbai Metropolitan Region. 2K followers 500+ connections. See your mutual ... Read more
Mihir Shah,Director of Customer Success,"Loop Health Insurance Broker, where I own end-to-end account management across a diverse corporate p",https://www.linkedin.com/in/mihir-shah-2a1084183/,incomplete,google_browser,"Mihir Shah - Director of Customer Success @Loop Health LinkedIn · Mihir Shah 670+ followers Mihir Shah - Director of Customer Success @Loop Health LinkedIn · Mihir Shah 670+ followers LinkedIn · Mihir Shah 670+ followers Mumbai, Maharashtra, India · Director of Customer Success · Loop Currently serving as Director – Customer Success at Loop Health Insurance Broker, where I own end-to-end account management across a diverse corporate portfolio ... Read more"
Gandhali Samant,Customer Success Leader,Cloud & AI,https://www.linkedin.com/in/gandhalisamant/,industry_company,google_browser,"Gandhali Samant - Customer Success Leader - Cloud & AI Gandhali Samant - Customer Success Leader - Cloud & AI ... LinkedIn · Gandhali Samant 3.6K+ followers LinkedIn · Gandhali Samant 3.6K+ followers Mumbai, Maharashtra, India · Customer Success Leader - Cloud & AI Platforms · Microsoft Customer Success Leader - Cloud & AI Platforms, Microsoft India & South Asia. Microsoft Florida Institute of Technology. Mumbai, Maharashtra, India . 4K ... Read more"
Kartik Anandaraj,Customer Success Lead,Discern,https://www.linkedin.com/in/kartik-anandaraj/,industry_company,google_browser,"Kartik Anandaraj - Customer Success Lead @ Discern Kartik Anandaraj - Customer Success Lead @ Discern ... LinkedIn · Kartik Anandaraj 1.1K+ followers LinkedIn · Kartik Anandaraj 1.1K+ followers Mumbai, Maharashtra, India · Customer Success Lead · Discern Security Customer Success Lead @ Discern Security. Discern Security SIES Graduate School Of Technology. Mumbai, Maharashtra, India . 1K followers 500+ connections. See ... Read more"
Rahul Panchal,Director of Customer Success,Blue,https://www.linkedin.com/in/rdpanchal/,industry_company,google_browser,"Rahul Panchal - Director of Customer Success at Blue Rahul Panchal - Director of Customer Success at Blue ... LinkedIn · Rahul Panchal 590+ followers LinkedIn · Rahul Panchal 590+ followers Mumbai, Maharashtra, India · Director of Customer Success · Bluemeteor Experience · Director of Customer Success · Head Customer Success · Global Information Technology Operations Manager · Global Network Manager · Service Delivery ... Read more"
Shilpa Reddy,Customer Success Lead,Vitrina (Global,https://www.linkedin.com/in/shilpa-reddy-operations/,industry_company,google_browser,"Shilpa Reddy - Customer Success Lead at Vitrina (Global Shilpa Reddy - Customer Success Lead at Vitrina (Global ... LinkedIn · Shilpa Reddy 2.4K+ followers LinkedIn · Shilpa Reddy 2.4K+ followers Mumbai, Maharashtra, India · Customer Success Lead · Vitrina A.I. Customer Success Lead at Vitrina (Global Business Entertainment Network) ... Mumbai, Maharashtra, India . Daily handling multiple accounts for FOX Star ... Read more"
Priyanka Parpillewar,Customer Success Leader,Unknown,https://www.linkedin.com/in/priyanka-parpillewar-749a5816/,location,google_browser,"Priyanka Parpillewar - Customer Success Leader LinkedIn · Priyanka Parpillewar 1,1K+ followers Priyanka Parpillewar - Customer Success Leader LinkedIn · Priyanka Parpillewar 1,1K+ followers LinkedIn · Priyanka Parpillewar 1,1K+ followers Results-driven Customer Success Leader with over 10 years of experience across SaaS, Fintech , and Corporate Consulting. Expert in leading end-to-end ... Read more"
Yogesh Panth,Customer Success Leader,Unknown,https://www.linkedin.com/in/yogesh-panth/,location,google_browser,"Yogesh Panth - Customer Success Leader LinkedIn · Yogesh Panth 13,2K+ followers Yogesh Panth - Customer Success Leader LinkedIn · Yogesh Panth 13,2K+ followers LinkedIn · Yogesh Panth 13,2K+ followers Yogesh Panth. Customer Success Leader | 11+ Years in SaaS, BFSI & Fintech | Cybersecurity | CRM | Marketing Automation | Driving Retention, Growth & Digital ... Read more"
Anupama Mundhra,"Director, Customer Success",IDfy,https://www.linkedin.com/in/anupamamundhra/,industry_company,google_browser,"Anupama Mundhra - Director, Customer Success at IDfy LinkedIn · Anupama Mundhra 380+ followers Anupama Mundhra - Director, Customer Success at IDfy LinkedIn · Anupama Mundhra 380+ followers LinkedIn · Anupama Mundhra 380+ followers Anupama Mundhra. Director, Customer Success at IDfy. IDfy Institute of Management Technology, Ghaziabad. Mumbai, Maharashtra ... Read more"
