Name,Designation,Company,LinkedIn URL,Reason,Source,Evidence
Rajesh Putta,Chief Technology Officer | ISB Alumnus,Virinchi Ltd.,https://www.linkedin.com/in/rajeshputta1983/,location,ddgs,"Rajesh Putta - Chief Technology Officer | ISB Alumnus I manage multi-million dollar technology portfolios with a sharp focus on capital optimization, vendor governance, and maximum tech ROI for investors and boards. · Experience: Virinchi Ltd. ·... The gap between what healthcare AI promises and what it delivers in production is still wide. I’m here to close it. · Experience: Apollo HealthAxis · Education: University of Canberra · Location:... Worked as a Visiting Faculty and Panel Member for Osmania University, Institute of Public Enterprise, A P Co-operative Training College, Premier MBA and MCA Colleges in Hyderabad. Chief Technology Officer · Experience: Swiss Re · Location: Hyderabad · 500+ connections on LinkedIn. View Valli Bollavaram’s profile on LinkedIn, a professional community of 1 billion... Chief Technology Officer, Onyx Components and Systems · A thorough professional with"
Bharath Yallambatla,"Chief Technology Officer, Apollo",Apollo HealthAxis,https://www.linkedin.com/in/bharath-yallambatla-3388851b/,location,ddgs,"Bharath Yallambatla - Chief Technology Officer, Apollo The gap between what healthcare AI promises and what it delivers in production is still wide. I’m here to close it. · Experience: Apollo HealthAxis · Education: University of Canberra · Location:... Worked as a Visiting Faculty and Panel Member for Osmania University, Institute of Public Enterprise, A P Co-operative Training College, Premier MBA and MCA Colleges in Hyderabad. Chief Technology Officer · Experience: Swiss Re · Location: Hyderabad · 500+ connections on LinkedIn. View Valli Bollavaram’s profile on LinkedIn, a professional community of 1 billion... Chief Technology Officer, Onyx Components and Systems · A thorough professional with an unmatched attention to detail and zest to keep ahead with simplicity and humbleness. Chief Technology Officer @ ABSYZ Inc | Dreamforce/TrailheadDx Speaker · Technology leader and Salesforce"
Dr. Venu Gopal Jarugumalli PhD (AI Alchemist),Head of AI,ZF Group,https://www.linkedin.com/in/dr-venu-gopal-jarugumalli-phd-ai-alchemist-66190214/,incomplete,ddgs,"Dr. Venu Gopal Jarugumalli PhD (AI Alchemist) - Head of AI · Experience: ZF Group · Education: Institute for Social and Economic Change, Bangalore · Location: Hyderabad · 500+ connections on LinkedIn. View Dr. Venu Gopal Jarugumalli PhD (AI..."
Nick H.,CIO/CTO/Technology Transformation & AI Leader,Unknown,https://www.linkedin.com/in/nickharris-happy/,location,google_browser,Nick H. - CIO/CTO/Technology Transformation & AI Leader LinkedIn · Nick H. 3.8K+ followers Nick H. - CIO/CTO/Technology Transformation & AI Leader LinkedIn · Nick H. 3.8K+ followers LinkedIn · Nick H. 3.8K+ followers CIO/CTO/Technology Transformation & AI Leader · Education: MIT Sloan School of Management · Location: United States · 500+ connections on LinkedIn.
"Prasad Babu Savarapu, MBA",CIO Advisory,Unknown,https://www.linkedin.com/in/prasad-savarapu/,location,google_browser,"Prasad Babu Savarapu, MBA - CIO Advisory LinkedIn · Prasad Babu Savarapu, MBA 3K+ followers Prasad Babu Savarapu, MBA - CIO Advisory LinkedIn · Prasad Babu Savarapu, MBA 3K+ followers LinkedIn · Prasad Babu Savarapu, MBA 3K+ followers Invexify. Dec 2020 - Jan 2024 3 years 2 months. Greater Hyderabad Area . Invexify is a data engine for investing and trading. A global data company has ... Read more"
Venkata Rao Damera,Chief Information and Digital Officer at,AWL Agri Business Ltd (,https://www.linkedin.com/in/dvenkatarao/,location,ddgs,"Venkata Rao Damera - Chief Information and Digital Officer at IT Strategy Planning, Project Management, ERP Implementation, Enterprise Applications, Policy Development, P&L Responsibility, Team Management · Experience: AWL Agri Business Ltd (Formerly known as... Chief Information & Digital Officer | Board Director | AI & Innovation Leader Shaping Business Strategy Through People-First Tech · I'm an innovative, business-driven technology... As a global technology executive, strategic growth agent, and transformational business leader, I bring an extensive record of positioning companies at the forefront of innovation and delivering ... Experienced professional with a demonstrated history of working in the information… · Berufserfahrung: Tata Consultancy Services · Ausbildung: BIT Mesra · Ort: Schweiz · 500+ Kontakte auf LinkedIn. Sehen Sie sich das Profil von Vatsalya Narain Vatsalya Nara"
Dhinagaran Ramachandran,500+ connections on LinkedIn. Chief Technical Officer (CTO) | Chief Operations Officer (COO) | Plant Head,"Manufacturing, Technology, and Operations Leader",https://www.linkedin.com/in/dhinar-research-development-leader/,location,ddgs,"Dhinagaran Ramachandran - Chief Technical Officer | Strategic Chief Technical Officer | Strategic R&D Leader | Digital Simulations Expert | Industrial Automation Specialist | Product Development Stalwart | Business Analytics Professional Chief Technical Officer at Truveta · Experience: Truveta · Location: Greater Seattle Area · 500+ connections on LinkedIn. Chief Technical Officer (CTO) | Chief Operations Officer (COO) | Plant Head · Manufacturing, Technology, and Operations Leader | CTO | COO | Plant Head I am a senior manufacturing and... Transport/Rail Managing Director/CEO with a track record of formulating and implementing… · Experience: ComfortDelGro Bus& Coach (UK & Ireland) · Education: The Chartered Institute of Management Accountants · Location: London Area, United Kingdom · 500+ connections on LinkedIn. View Edward Thomas’ profile on LinkedIn, a professional community of 1 bil"
Jay Nanduri,500+ connections on LinkedIn. Chief Technical Officer (CTO) | Chief Operations Officer (COO) | Plant Head,"Manufacturing, Technology, and Operations Leader",https://www.linkedin.com/in/jaynanduri/,location,ddgs,"Jay Nanduri - Chief Technical Officer at Truveta Chief Technical Officer at Truveta · Experience: Truveta · Location: Greater Seattle Area · 500+ connections on LinkedIn. Chief Technical Officer (CTO) | Chief Operations Officer (COO) | Plant Head · Manufacturing, Technology, and Operations Leader | CTO | COO | Plant Head I am a senior manufacturing and... Transport/Rail Managing Director/CEO with a track record of formulating and implementing… · Experience: ComfortDelGro Bus& Coach (UK & Ireland) · Education: The Chartered Institute of Management Accountants · Location: London Area, United Kingdom · 500+ connections on LinkedIn. View Edward Thomas’ profile on LinkedIn, a professional community of 1 billion members. Sep 25, 2011 · Chief Technical Officer at GreenJets Ltd · An aerospace engineer with 18 years' experience and a PhD in UAV Systems Design. Experienced the complete FAR/EASA-CS"
Tejas Shirodkar,Director of AI Transformation,Battlefield,https://www.linkedin.com/in/tejasshirodkar/,location,ddgs,"Tejas Shirodkar - Director of AI Transformation - Battlefield Director of AI Transformation - Battlefield QV, EA (2x) | Products, Startups, Games | ex-Founder and life long learner · I’ve always been drawn to the structure beneath things -- the systems,... Director of AI Innovation & Research at ZS | Building AI systems for complex, regulated domains | NLP · Machine Learning · Knowledge Graphs · Agentic AI · AI and Data Science leader with... En route : Dabbler to a Generalist | Building Digiaccel and Altera | Director of AI & Engineering · I have been coding and building things for over 15 years now driven by love for bringing my... Director of AI Infrastructure Engineering | FDE for Inference and training • AI Observability • GPU Cloud • Multi-Region Engineering Leadership | Coupang - Coupang Intelligent Cloud | Ex ..."
Tim H.,CIO / Head of Information Technology,Nazareth Care Australia,https://www.linkedin.com/in/timsdetails/,location,google_browser,"Tim H. - CIO | Head of Information Technology LinkedIn · Tim H. 480+ followers Location: Melbourne, Victoria, Australia · Title: CIO / Head of Information Technology · Company: Nazareth Care Australia Tim H. - CIO | Head of Information Technology LinkedIn · Tim H. 480+ followers LinkedIn · Tim H. 480+ followers Melbourne, Victoria, Australia · CIO / Head of Information Technology · Nazareth Care Australia A highly accomplished IT leader possessing an extensive technical background and exceptional experience leading an IT department, infrastructure team, ... Read more"
